name,type,f0,f1,dur,alt,v0,v1,file,note
H1_hover_85m,hover,125.4,206.6,81.2,85.1,142.4,223.6,H1_hover_85m.mp4,single hover
H2_hover_85m,hover,261.0,391.2,130.2,85.1,278.0,408.2,H2_hover_85m.mp4,single hover
H3_hover_85m,hover,453.6,698.1,244.5,85.2,470.6,715.1,H3_hover_85m.mp4,single hover
H4_hover_57m,hover,712.0,759.9,47.9,56.8,729.0,776.9,H4_hover_57m.mp4,single hover
H5_hover_57m,hover,848.0,966.4,118.4,56.8,865.0,983.4,H5_hover_57m.mp4,single hover
H6_hover_57m,hover,1047.8,1145.7,97.9,56.8,1064.8,1162.7,H6_hover_57m.mp4,single hover
H7_hover_57m,hover,1228.6,1241.4,12.8,56.7,1245.6,1258.4,H7_hover_57m.mp4,single hover
H8_hover_116m,hover,1309.0,1366.3,57.3,116.3,1326.0,1383.3,H8_hover_116m.mp4,single hover
H9_hover_-1m,hover,1482.1,1501.2,19.1,-1.3,1499.1,1518.2,H9_hover_-1m.mp4,single hover
C1_crawl_85m,crawl,96.0,108.3,12.3,85.1,113.0,125.3,C1_crawl_85m.mp4,single crawl offshore(out)
C2_crawl_85m,crawl,206.7,260.9,54.2,85.1,223.7,277.9,C2_crawl_85m.mp4,single crawl offshore(out)
C3_crawl_85m,crawl,391.3,453.5,62.2,85.1,408.3,470.5,C3_crawl_85m.mp4,single crawl offshore(out)
C4_crawl_57m,crawl,760.0,847.9,87.9,56.8,777.0,864.9,C4_crawl_57m.mp4,single crawl onshore(back)
C5_crawl_57m,crawl,969.3,1047.7,78.4,56.8,986.3,1064.7,C5_crawl_57m.mp4,single crawl onshore(back)
C6_crawl_57m,crawl,1145.8,1228.5,82.7,56.8,1162.8,1245.5,C6_crawl_57m.mp4,single crawl onshore(back)
C7_crawl_116m,crawl,1395.4,1428.4,33.0,116.3,1412.4,1445.4,C7_crawl_116m.mp4,single crawl onshore(back)
HC2_85m,hover-crawl,125.4,260.9,135.5,85.1,142.4,277.9,HC2_85m.mp4,hover+crawl
HCH2_85m,hover-crawl-hover,125.4,391.2,265.8,85.1,142.4,408.2,HCH2_85m.mp4,H-C-H offshore(out)
HC3_85m,hover-crawl,261.0,453.5,192.5,85.1,278.0,470.5,HC3_85m.mp4,hover+crawl
HCH3_85m,hover-crawl-hover,261.0,698.1,437.1,85.2,278.0,715.1,HCH3_85m.mp4,H-C-H offshore(out)
HC4_57m,hover-crawl,712.0,847.9,135.9,56.8,729.0,864.9,HC4_57m.mp4,hover+crawl
HCH4_57m,hover-crawl-hover,712.0,966.4,254.4,56.8,729.0,983.4,HCH4_57m.mp4,H-C-H onshore(back)
HC5_57m,hover-crawl,848.0,1047.7,199.7,56.8,865.0,1064.7,HC5_57m.mp4,hover+crawl
HCH5_57m,hover-crawl-hover,848.0,1145.7,297.7,56.8,865.0,1162.7,HCH5_57m.mp4,H-C-H onshore(back)
HC6_57m,hover-crawl,1047.8,1228.5,180.7,56.8,1064.8,1245.5,HC6_57m.mp4,hover+crawl
HCH6_57m,hover-crawl-hover,1047.8,1241.4,193.6,56.8,1064.8,1258.4,HCH6_57m.mp4,H-C-H onshore(back)
ROT_incl_116m,hover+rotation,1300,1390,90,116.3,1317.0,1407.0,ROT_incl_116m.mp4,116m hover INCLUDING the two spins
ROT_clean_116m,hover-norot,1309,1366,57,116.3,1326.0,1383.0,ROT_clean_116m.mp4,116m clean NON-rotating sub-window
