t_center,x_gps_m,depth_m,kh,off_shell,cur_mag,gps_speed,verdict
512.5,87.8,3.60,2.05,0.04,1.86,1.86,near-deep/weak
518.5,76.6,3.68,2.19,0.04,2.00,1.93,near-deep/weak
524.5,64.1,3.13,1.89,0.05,2.01,2.14,near-deep/weak
530.5,51.2,2.75,1.65,0.06,2.01,2.14,obs
536.5,38.4,2.21,1.32,0.07,2.01,2.14,obs
542.5,25.6,1.53,0.97,0.10,1.76,2.14,obs
548.5,12.9,1.33,0.92,0.09,1.62,2.12,obs
554.5,0.2,1.77,1.17,0.09,1.92,2.12,obs
560.5,-12.5,1.96,1.16,0.10,2.00,2.09,obs
566.5,-24.5,1.89,1.18,0.11,2.01,1.98,obs
572.5,-37.0,1.89,1.28,0.10,2.00,2.05,obs
578.5,-49.2,1.66,1.19,0.10,2.01,2.09,obs
584.5,-61.6,0.30,0.22,0.17,1.05,2.03,obs
590.5,-73.8,0.30,0.21,0.23,0.56,2.05,obs
596.5,-86.1,0.30,0.21,0.26,0.42,2.03,obs
