t_center,x_gps_m,depth_v2,depth_v1,depth_hover_profile,kh,off_shell,resid_cur,gps_speed,verdict
512.5,87.8,3.62,3.60,6.44,2.06,0.03,0.37,1.86,near-deep/weak
518.5,76.6,3.69,3.68,5.89,2.19,0.03,0.41,1.93,near-deep/weak
524.5,64.1,3.56,3.13,5.31,2.15,0.03,0.52,2.14,near-deep/weak
530.5,51.2,3.24,2.75,4.77,1.94,0.03,0.53,2.14,near-deep/weak
536.5,38.4,2.70,2.21,4.27,1.61,0.04,0.57,2.14,obs
542.5,25.6,1.60,1.53,3.81,1.01,0.06,0.70,2.14,obs
548.5,12.9,1.37,1.33,3.41,0.95,0.06,0.79,2.12,obs
554.5,0.2,1.78,1.77,3.05,1.17,0.05,0.71,2.12,obs
560.5,-12.5,2.31,1.96,2.73,1.36,0.05,0.60,2.09,obs
566.5,-24.5,2.07,1.89,2.47,1.29,0.06,0.69,1.98,obs
572.5,-37.0,1.89,1.89,2.24,1.29,0.06,0.61,2.05,obs
578.5,-49.2,1.67,1.66,2.06,1.20,0.06,0.58,2.09,obs
584.5,-61.6,0.30,0.30,1.91,0.22,0.11,1.39,2.03,obs
590.5,-73.8,0.30,0.30,1.81,0.21,0.17,1.61,2.05,obs
596.5,-86.1,0.30,0.30,1.75,0.21,0.21,1.60,2.03,obs
