flight,t0,t1,alt_m,lat,lon,depth_m,kh,period_s,off_shell,current_ms,swell_deg,chart_depth_m,chart_src,period_match,verdict
F1,35.5,165.2,71.6,42.575049,-80.367193,1.66,1.01,3.5,0.11,0.44,-84,0.4,NCEI,True,USABLE
F1,240.7,357.9,71.6,42.574409,-80.367564,2.67,1.22,3.3,0.05,0.08,-76,0.7,NCEI,True,USABLE
F1,418.9,553.1,71.6,42.573836,-80.367892,4.50,2.20,3.0,0.05,0.14,-69,1.0,NCEI,True,DEGENERATE-neardeep
F1,592.1,712.2,71.6,42.573428,-80.368129,6.66,2.98,3.1,0.06,0.18,-66,1.2,NCEI,True,DEGENERATE-neardeep
F1,741.2,809.3,57.8,42.574383,-80.367397,2.79,1.56,3.2,0.07,0.40,-73,0.7,NCEI,True,USABLE
F1,845.8,953.0,57.8,42.574636,-80.367233,1.95,1.14,3.6,0.12,0.65,-84,0.5,NCEI,True,USABLE
F1,1049.1,1062.6,80.9,42.574315,-80.366686,20.00,11.00,3.3,0.12,0.86,-50,0.6,NCEI,True,DEGENERATE-neardeep
F1,1109.6,1180.2,81.0,42.574145,-80.367256,2.23,1.09,3.5,0.08,0.28,29,0.6,NCEI,True,USABLE
F3,39.5,178.7,67.0,42.574017,-80.367315,3.04,1.48,3.3,0.07,0.28,-83,0.7,NCEI,True,USABLE
F3,207.7,351.9,67.1,42.573688,-80.367556,20.00,8.39,3.2,0.05,0.28,-78,0.9,NCEI,True,DEGENERATE-neardeep
F3,403.9,489.5,67.1,42.573045,-80.367983,20.00,8.09,3.3,0.06,0.32,-71,1.8,NCEI,True,DEGENERATE-neardeep
F5,23.0,119.1,50.8,42.575335,-80.370439,1.95,1.15,3.3,0.08,0.41,-76,0.7,NCEI,True,USABLE
F5,157.7,274.3,50.8,42.574896,-80.370632,3.18,1.76,3.3,0.08,0.74,-72,1.0,NCEI,True,USABLE
